POL1000001JOHNSON MARY ANN            BS2024010120251231001000000500000A
POL1000002SMITH ROBERT JAMES          SV2024020120251231000500000250000A
POL1000003WILLIAMS JENNIFER LYNN      PR2024011520260115000250000750000A
POL1000004BROWN MICHAEL DAVID         BS2024030120260301001500000400000A
POL1000005JONES PATRICIA ANN          SV2024021520260215002000000300000A
POL1000006GARCIA MARIA ELENA          PR2023120120241231000000000600000A
POL1000007MARTINEZ JOSE LUIS          BR2024040120260401000750000200000A
POL1000008RODRIGUEZ CARMEN SOFIA      BS2024011020260110001000000500000A
POL1000009HERNANDEZ DIEGO ANTONIO     SV2024022820260228000500000250000A
POL1000010LOPEZ ISABELLA MARIE        PR2024031520260315000100000800000A
POL1000011GONZALEZ ALEXANDER JAMES    BS2024010520260105001250000450000A
POL1000012WILSON ELIZABETH ANN        SV2024041020260410002500000200000A
POL1000013ANDERSON CHRISTOPHER LEE    PR2024020520260205000000000700000A
POL1000014THOMAS SARAH MICHELLE       BR2024012020260120001000000300000A
POL1000015TAYLOR MATTHEW JOHN         BS2024030120260301000800000550000A
POL1000016MOORE JESSICA LYNN          SV2024021520260215001500000275000A
POL1000017JACKSON DANIEL ROBERT       PR2024011020260110000500000650000A
POL1000018WHITE AMANDA NICOLE         BS2024040120260401001200000480000A
POL1000019HARRIS KEVIN MICHAEL        SV2024022820260228001800000220000A
POL1000020MARTIN REBECCA ANNE         PR2024031520260315000300000750000A
POL1000021THOMPSON WILLIAM CHARLES    BS2020050120210501000000000100000I
POL1000022GARCIA LINDA PATRICIA       SV2024041520260415000500000250000A
